ID,Player,Team,Minutes played,league_id
122,J. Bellingham,Borussia Dortmund,2787,78
123,J. Kimmich,Bayern München,2720,78
124,B. Pavard,Bayern München,2301,78
125,M. Koné,Borussia M'gladbach,2613,78
126,M. Simakan,RB Leipzig,1317,78
127,X. Schlager,RB Leipzig,1573,78
128,D. Sow,Eintracht Frankfurt,2555,78
129,A. Haidara,RB Leipzig,1342,78
130,M. Arnold,Wolfsburg,2675,78
131,S. Özcan,Borussia Dortmund,1638,78
132,E. Palacios,Bayer Leverkusen,1483,78
133,A. Stach,Mainz 05,1962,78
134,J. Weigl,Borussia M'gladbach,1756,78
135,B. Henrichs,RB Leipzig,2215,78
136,E. Can,Borussia Dortmund,1766,78
137,E. Skhiri,Köln,2772,78
138,K. Sildillia,Freiburg,2053,78
139,R. Andrich,Bayer Leverkusen,2573,78
140,L. Tousart,Hertha BSC,2877,78
141,L. Barreiro,Mainz 05,2121,78
142,K. Demirbay,Bayer Leverkusen,1450,78
143,D. Geiger,Hoffenheim,2003,78
144,M. Eggestein,Freiburg,2398,78
145,R. Khedira,Union Berlin,2795,78
146,G. Prömel,Hoffenheim,1271,78
147,S. Serdar,Hertha BSC,1979,78
148,W. Endo,Stuttgart,2870,78
149,E. Martel,Köln,1908,78
150,T. Krauß,Schalke 04,2554,78
151,A. Král,Schalke 04,2270,78
152,K. Kampl,RB Leipzig,1373,78
153,A. Karazor,Stuttgart,1844,78
154,I. Šunjić,Hertha BSC,1075,78
155,D. Kohr,Mainz 05,2282,78
156,J. Stage,Werder Bremen,1799,78
157,A. Engels,Augsburg,1358,78
158,E. Rexhbecaj,Augsburg,2515,78
159,I. Gruev,Werder Bremen,1504,78
160,S. Rode,Eintracht Frankfurt,1343,78
161,K. Stöger,Bochum,2520,78
162,N. Schmidt,Werder Bremen,1096,78
163,C. Kramer,Borussia M'gladbach,2287,78
164,P. Förster,Bochum,1174,78
165,N. Höfler,Freiburg,2807,78
166,Danilo Soares,Bochum,1875,78
167,P. Osterhage,Bochum,1077,78
168,J. Boëtius,Hertha BSC,1021,78
169,G. Haraguchi,Stuttgart,1327,78
170,C. Groß,Werder Bremen,1932,78
171,A. Losilla,Bochum,2611,78
281,I. Sangaré,PSV,2222,88
282,O. Kökçü,Feyenoord,2608,88
283,C. Bassey,Ajax,1981,88
284,L. Geertruida,Feyenoord,2488,88
285,J. Veerman,PSV,2391,88
286,K. Taylor,Ajax,2425,88
287,Q. Timber,Feyenoord,1572,88
288,É. Gutiérrez,PSV,1603,88
289,M. Wieffer,Feyenoord,1624,88
290,R. Zerrouki,Twente,2737,88
291,D. Blind,Ajax,1034,88
292,D. de Wit,AZ,1194,88
293,J. Kitolano,Sparta Rotterdam,2724,88
294,J. Clasie,AZ,2841,88
295,C. Eiting,Volendam,2999,88
296,D. Proper,NEC,2760,88
297,T. Haye,Heerenveen,2622,88
298,S. Tronstad,Vitesse,1983,88
299,L. Brouwers,Utrecht,1813,88
300,L. Duarte,Groningen,1693,88
301,M. Kjølø,Twente,1078,88
302,D. Erdoğan,Fortuna Sittard,1547,88
303,J. Toornstra,Utrecht,2376,88
304,A. Tahiri,Heerenveen,2494,88
305,M. Hoedemakers,Cambuur,2100,88
306,P. Rommens,Go Ahead Eagles,2391,88
307,D. Duarte,Fortuna Sittard,1401,88
308,D. van Kaam,Cambuur,2277,88
309,A. Ferati,Fortuna Sittard,1491,88
310,L. van Gelderen,Groningen,1145,88
311,E. Linthorst,Go Ahead Eagles,1571,88
312,J. Baas,Excelsior,2405,88
313,E. Llansana,Go Ahead Eagles,1186,88
314,J. Vlak,Emmen,1663,88
315,C. Twigt,Volendam,1133,88
316,K. Veendorp,Emmen,2913,88
317,J. Pelupessy,Groningen,1432,88
318,B. Plat,Volendam,2377,88
319,V. Anita,RKC Waalwijk,2731,88
320,L. Schöne,NEC,2827,88
321,J. de Guzmán,Sparta Rotterdam,1295,88
322,J. van Mullem,Sparta Rotterdam,1069,88
451,M. Brasil,Cerro Largo,1817,263
452,J. Plascencia,Mineros de Zacatecas,2669,263
453,J. Venegas,Toluca,1913,263
454,H. Meza,Mineros de Zacatecas,2221,263
455,J. Cortés,Alebrijes de Oaxaca,3041,263
456,J. Hernández,Tepatitlán de Morelos,3422,263
457,I. Tona,Club Tijuana,1532,263
458,E. Martínez,Pumas Tabasco,2475,263
459,A. Nava,Dorados,2360,263
460,G. Moreno,Correcaminos UAT,3221,263
461,M. Pérez,Cancún,2103,263
462,J. Angulo,Correcaminos UAT,1786,263
463,A. Arellano,Cimarrones de Sonora,3182,263
464,J. González,Universidad Guadalajara,3275,263
465,B. Figueroa,Mineros de Zacatecas,2589,263
466,A. Domínguez,Celaya,3852,263
467,M. Reyna,Cafetaleros de Chiapas,1026,263
468,D. Guajardo,Tapatío,2384,263
469,Ó. Macías,Tapatío,3466,263
470,D. Gallegos,Celaya,1140,263
471,I. Acero,Tepatitlán de Morelos,2272,263
472,J. Sánchez,Correcaminos UAT,2392,263
