player,minutes,team,match,date
A. Talavera,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
A. Acosta,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
Alejandro Arribas,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
C. Salcedo,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
M. Olivera,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
J. Dueñas,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
J. Salas,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
M. García,79,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
M. Silvera,90,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
G. Fernández,79,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
M. Laínez,46,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
A. Medina,44,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
D. Lezcano,11,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
D. Rolan,11,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
V. Alvarado,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
F. Arce,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
F. Nevárez,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
E. Velázquez,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
A. Mora,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
C. Ramírez,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
F. Rodríguez,0,FC Juarez,Apertura - 16,2022-08-04T00:00:00+00:00
M. Barovero,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
R. Chávez,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
R. Juárez,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
R. González,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
A. Cruz,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
F. Waller,82,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
J. Güémez,62,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
J. Sanabria,90,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
J. Murillo,68,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
R. Sambueza,69,Atletico San Luis,Apertura - 16,2022-08-04T00:00:00+00:00
